section,photo_location,image_url,caption,photographer
section-7,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_076.jpg,,
section-7,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_075.jpg,,
section-7,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_074.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_073.jpg,"Ameet Pinto, Assistant Professor, Civil and Environmental Engineering, poses for a portrait inside Snell Engineering on March 29, 2016. Pinto's research focuses on improving drinking water quality. ",Photo by Matthew Modoono
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_072.jpg,"The Men's Hockey team practices at the U.S. Bank Arena in Cincinnati, Ohio, prior to the first round of the 2016 NCAA Ice Hockey Tournament game against North Dakota on March 24, 2016. ",Photo by Matthew Modoono
section-8,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_071.jpg,"Top Left: Professor David Choffnes poses for a portrait in West Village H on March 30, 2016. Top Right: Professor Rebecca Carrier poses for a portrait in Egan on March 25, 2016. Bottom Left: Professor Matthew Eckelman poses for a portrait in Dana on March 24, 2016. Bottom Right: Northeastern team physician Gian Corrado poses for a portrait in Cabot on March 15, 2016.",Photos by Adam Glanzman
section-8,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_070.jpg,,
section-8,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_069.jpg,,
section-8,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_068.jpg,,
section-9,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_067.jpg,"Left: Sam Brown, BHS'19, relaxes on Centennial Common in between classes on June 2, 2016. Right: Jonathan Campbell, AUD'18, studies in Snell Library on June 27, 2016.",Photos by Adam Glanzman
section-9,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_066.jpg,,
section-10,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_065.jpg,"Top Left: Heather Yang, Elaine Wei, Claire Song who are on campus for the summer bridge program take selfies on Centennial Common on June 9, 2016. Top Right: Max Gieraltowski, E'19, and Beau Landis, E'17, prepare the Baja SAE off-road vehicle in the basement of Richards Hall on June 8, 2016. Bottom Left: Idekelly King, E’17, col­lects data from a solar desali­na­tion system capstone project set up out­side the Cabot Center Cabot Physical Educational Center on June 17, 2016. Bottom Right: A fifth-grade student visiting Northeastern's ReGame VR Lab tries out one of physical therapy professor Danielle Levac's virtual reality games on June 10, 2016.","Top left photo by Adam Glanzman. Top right, bottom left, bottom right photo by Matthew Modoono"
section-10,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_064.jpg,,
section-10,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_063.jpg,,
section-10,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_062.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_061.jpg,"Cami Aponte, AMD'18, practices hula hooping on July 20, 2016. ",Photo by Matthew Modoono
section-11,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_060.jpg,"Top Left: Future Huskies play icebreaker games on Robinson Quad during Husky 101 Orientation at Northeastern University on July 6, 2016. Top Right: A student reflected in a window walks by the Curry Student Center on July 28, 2016. Bottom Left: A student, seen through the “Homage to Galileo,” sculpture by artist David Bakalar, studies in West Village H on July 21, 2016. Bottom Right: Josh Levin E'17 climbs an obstacle at a watch party for American Ninja Warrior at the Northeastern University Visitor's Center on July 11, 2016. ",Photos by Adam Glanzman
section-11,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_059.jpg,,
section-11,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_058.jpg,,
section-11,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_057.jpg,,
section-12,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_056.jpg,"Left: Julian Stanley, S'20, works on research in the Hurtig Hall lab on July 13, 2016. Right: Assistant Professors Sarah Jackson and Brooke Foucault Welles pose for a portrait on Jan. 12, 2016. ",Left photo by Matthew Modoono. Right photo by Adam Glanzman
section-12,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_055.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_054.jpg,"Alicia Lezama receives a hug from a student on one of her last days of work in the Stetson West Eatery on Jan. 8, 2016. Lezama is retired after 27 years of service for Northeastern Dining. ",Photo by Matthew Modoono
section-13,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_053.jpg,"Left: Sam Marley, DMSB'18, left, Daniel Arvidsson, DMSB'18, and Dan Korman, DMSB'18, all co-founders of Blurr, a photo sharing app/platform that is public and hyperlocal and makes it easy for people attending the same event or at the same venue to share images, pose for a portrait on Feb. 23, 2016. Right: Assistant Professors Sarah Jackson and Brooke Foucault Welles pose for a portrait on Jan. 12, 2016. ",Left photo by Matthew Modoono. Right photo by Adam Glanzman
section-13,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_052.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_051.jpg,"A student walks through a patch of light in International Village on Feb. 2, 2016. ",Photo by Adam Glanzman
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_050.jpg,"Leymah Gbowee, Nobel Peace Prize Laureate dances with President Aoun at the conclusion of her Keynote Address and Q&amp;A held in Blackman Auditorium on Feb. 11, 2016.",Photo by Matthew Modoono
section-14,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_049.jpg,"Left: Students walk through campus on Nov. 4, 2016. Right: Fall foliage is seen on Centennial Common Sept. 17, 2016.",Left photo by Adam Glanzman. Right photo by Matthew Modoono
section-14,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_048.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_047.jpg,"Jerry Caldwell of the Carpentry shop sets up an exhibit in Gallery 360 at Northeastern University on Aug. 11, 2016. ",Photo by Adam Glanzman
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_046.jpg,"Northeastern's Ryan Ruck prepares for the Beanpot hockey tournament vs. Boston University held at TD Garden on Feb. 1, 2016. ",Photo by Matthew Modoono
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_045.jpg,"President Joseph E. Aoun and Massachusetts Gov. Charlie Baker are seen exiting the The George J. Kostas Research Institute for Homeland Security in Burlington after announcing a new consortium of research universities and private manufacturing companies, called the Advanced Nanomanufacturing Cluster for Smart Sensors and Materials, which will work on new methods to create smart sensors and other revolutionary materials using ‘nanoscale’ printing processes. The consortium will work with the Nanoscale Offset Printing System, a manufacturing technology pioneered by Northeastern’s Center for High-rate Nanomanufacturing, on April 19, 2016.",Photo by Matthew Modoono
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_044.jpg,"Students study by Cabot Cage on April 22, 2016. ",Photo by Adam Glanzman
section-15,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_043.jpg,"Left: Professors Daniel Wichs and Daniel Ullman pose for a portrait in West Village H on April 6, 2016. Right: Khadijah Mohammad PhD'19 and Post Doc Manjunath Lamani work in the Center for Drug Discover Lab in Mugar at Northeastern University on Aug. 18, 2016. ",Photos by Adam Glanzman
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_042.jpg,"Diego Rivas, E'16, poses for a portrait on April 13, 2016, a few days before running the 2016 Boston Marathon. ",Photo by Matthew Modoono
section-15,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_041.jpg,,Photos by Adam Glanzman
section-16,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_040.jpg,"Left: Frost, a 2-​​month-​​old Husky, was spotted out­side Inter­na­tional Vil­lage while taking a walk with her owner Boston resident, Zusex Romero on Feb. 25, 2016. Right: A stu­dent pets King Husky during the Fall Fest event held on Cen­ten­nial Common on Tuesday Sept. 6, 2016. ",Left photo by Matthew Modoono. Right photo by Adam Glanzman
section-16,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_039.jpg,"A stu­dent pets King Husky during the Fall Fest event held on Cen­ten­nial Common on Tuesday Sept. 6, 2016. ",
section-17,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_035.jpg,"Left: Luchen Li, Dean of the Office of Global Services, poses for a portrait in Ell Hall at Northeastern University on Sept. 26, 2016. Center: Jorge Caraballo Cordovez MA'17 poses for a portrait on Feb. 23, 2016. Right: Vinod Sahney poses for a portrait on Nov. 3, 2016. ",Left photo by Matthew Modoono. Center and right photo by Adam Glanzman
section-17,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_034.jpg,,
section-17,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_033.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_031.jpg,"President Joseph E. Aoun and other university leaders welcomed incoming freshmen, Northeastern's 119th class, to campus at the President's Convocation, held in Matthews Arena on Tuesday, Sept. 6, 2016. ",Photo by Matthew Modoono
section-18,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_030.jpg,"Left: Students in nuSERVES work on a community garden at the Old West Church in Boston on Aug. 25, 2016. Right: Photographed though mirrored glass, Christ Lokonda, SSH'16, left, and friend JR Cius are silhouetted as they work on dance moves in the Curry Student Center on Aug. 23, 2016.  ",Left photo by Adam Glanzman. Right photo by Matthew Modoono
section-18,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_029.jpg,,
section-19,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_028.jpg,"Peter Kilian, S'18, lights a smoker while on co-op at Best Bees Company in Boston on Aug. 18, 2016.  (See full story here: northestrn.me/2c5p2cb) ",Photos by Matthew Modoono
section-19,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_027.jpg,,
section-20,async_vert_lg,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_025.jpg,"Left: Terrell Hunt, DMSB'13, poses for a portrait at Northeastern University on Dec. 16, 2016. Top Right: Keeyon Olia, S'18, poses for a portrait on Feb. 22, 2016. Olia worked on co-op at the Sleep and Inflammatory Systems Laboratory at Beth Israel Deaconess Medical Center. Center Right: Julia Wilson CAMD'15 poses for a portrait in Cambridge on April 25, 2016. Bottom Right: Madi Murphy, AMD'18, poses for a portrait at Northeastern University on Aug. 1, 2016. Murphy co-oped in Iceland, where she worked with two Icelandic bands doing a range of work including social media. ","Left, top right, bottom right photo by Matthew Modoono. Center right photo by Adam Glanzman"
section-20,async_vert_sm,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_026.jpg,,
section-20,async_vert_sm,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_024.jpg,,
section-20,async_vert_sm,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_023.jpg,,
